id,name,fuel,capex,fom,vom,lifetime,discount_rate,heat_rate_base,heat_rate_incr,unit_size,node,max_build,min_build,initial_capacity,line,unit_type,is_flexible,scenarios,near_optimum,range_group
88,IRL_sat,solar,836.7,21.4,0,25,0.07,0,0,0.001,IRL,1135.1516,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
89,ITA_sat,solar,836.7,21.4,0,25,0.07,0,0,0.001,ITA,2220.2123,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
90,LTU_sat,solar,836.7,21.4,0,25,0.07,0,0,0.001,LTU,937.1279,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
91,LUX_sat,solar,836.7,21.4,0,25,0.07,0,0,0.001,LUX,26.348,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
92,LVA_sat,solar,836.7,21.4,0,25,0.07,0,0,0.001,LVA,732.35435,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
93,MKD_sat,solar,836.7,11.37,0,25,0.07,0,0,0.001,MKD,211.5722,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
94,MNE_sat,solar,836.7,11.37,0,25,0.07,0,0,0.001,MNE,49.4182,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
95,NLD_sat,solar,836.7,21.4,0,25,0.07,0,0,0.001,NLD,283.37655,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
96,NOR_sat,solar,836.7,21.4,0,25,0.07,0,0,0.001,NOR,4091.9327,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
97,POL_sat,solar,836.7,21.4,0,25,0.07,0,0,0.001,POL,4836.9119,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
98,PRT_sat,solar,836.7,21.4,0,25,0.07,0,0,0.001,PRT,1130.2359,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
99,ROU_sat,solar,836.7,11.37,0,25,0.07,0,0,0.001,ROU,4133.71145,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
100,SRB_sat,solar,836.7,11.37,0,25,0.07,0,0,0.001,SRB,1033.36265,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
101,SVK_sat,solar,836.7,21.4,0,25,0.07,0,0,0.001,SVK,567.07775,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
102,SVN_sat,solar,836.7,21.4,0,25,0.07,0,0,0.001,SVN,51.3341,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
103,SWE_sat,solar,836.7,21.4,0,25,0.07,0,0,0.001,SWE,3508.11305,0,0,pv_connection,pv_track,FALSE,7percent,FALSE,
104,ALB_offw,wind,2852,70,0,25,0.07,0,0,0.001,ALB,29.4906,0,0,offw_connection,offw,FALSE,7percent,FALSE,
105,BEL_offw,wind,2852,87,0,25,0.07,0,0,0.001,BEL,52.1531,0,0,offw_connection,offw,FALSE,7percent,FALSE,
106,BGR_offw,wind,2852,70,0,25,0.07,0,0,0.001,BGR,80.7861,0,0,offw_connection,offw,FALSE,7percent,FALSE,
108,CYP_offw,wind,2852,70,0,25,0.07,0,0,0.001,CYP,19.7669,0,0,offw_connection,offw,FALSE,7percent,FALSE,
109,DEU_offw,wind,2852,88,0,25,0.07,0,0,0.001,DEU,840.0521,0,0,offw_connection,offw,FALSE,7percent,FALSE,
110,DNK_offw,wind,2852,79,0,25,0.07,0,0,0.001,DNK,1250.5235,0,0,offw_connection,offw,FALSE,7percent,FALSE,
111,ESP_offw,wind,2852,86,0,25,0.07,0,0,0.001,ESP,372.958,0,0,offw_connection,offw,FALSE,7percent,FALSE,
112,EST_offw,wind,2852,86,0,25,0.07,0,0,0.001,EST,321.1257,0,0,offw_connection,offw,FALSE,7percent,FALSE,
113,FIN_offw,wind,2852,86,0,25,0.07,0,0,0.001,FIN,710.3683,0,0,offw_connection,offw,FALSE,7percent,FALSE,
114,FRA_offw,wind,2852,91,0,25,0.07,0,0,0.001,FRA,817.5954,0,0,offw_connection,offw,FALSE,7percent,FALSE,
115,GBR_offw,wind,2852,84,0,25,0.07,0,0,0.001,GBR,2388.9784,0,0,offw_connection,offw,FALSE,7percent,FALSE,
116,GRC_offw,wind,2852,86,0,25,0.07,0,0,0.001,GRC,360.5399,0,0,offw_connection,offw,FALSE,7percent,FALSE,
117,HRV_offw,wind,2852,70,0,25,0.07,0,0,0.001,HRV,274.677,0,0,offw_connection,offw,FALSE,7percent,FALSE,
118,IRL_offw,wind,2852,86,0,25,0.07,0,0,0.001,IRL,301.2631,0,0,offw_connection,offw,FALSE,7percent,FALSE,
119,ITA_offw,wind,2852,86,0,25,0.07,0,0,0.001,ITA,601.4324,0,0,offw_connection,offw,FALSE,7percent,FALSE,
120,LTU_offw,wind,2852,86,0,25,0.07,0,0,0.001,LTU,51.2741,0,0,offw_connection,offw,FALSE,7percent,FALSE,
121,LVA_offw,wind,2852,86,0,25,0.07,0,0,0.001,LVA,229.4014,0,0,offw_connection,offw,FALSE,7percent,FALSE,
122,MNE_offw,wind,2852,70,0,25,0.07,0,0,0.001,MNE,5.3215,0,0,offw_connection,offw,FALSE,7percent,FALSE,
123,NLD_offw,wind,2852,91,0,25,0.07,0,0,0.001,NLD,956.1448,0,0,offw_connection,offw,FALSE,7percent,FALSE,
124,NOR_offw,wind,2852,86,0,25,0.07,0,0,0.001,NOR,820.2833,0,0,offw_connection,offw,FALSE,7percent,FALSE,
125,POL_offw,wind,2852,86,0,25,0.07,0,0,0.001,POL,234.2223,0,0,offw_connection,offw,FALSE,7percent,FALSE,
126,PRT_offw,wind,2852,86,0,25,0.07,0,0,0.001,PRT,104.508,0,0,offw_connection,offw,FALSE,7percent,FALSE,
127,ROU_offw,wind,2852,70,0,25,0.07,0,0,0.001,ROU,133.7488,0,0,offw_connection,offw,FALSE,7percent,FALSE,
128,SVN_offw,wind,2852,86,0,25,0.07,0,0,0.001,SVN,3.076,0,0,offw_connection,offw,FALSE,7percent,FALSE,
129,SWE_offw,wind,2852,86,0,25,0.07,0,0,0.001,SWE,1059.104,0,0,offw_connection,offw,FALSE,7percent,FALSE,
130,ALB_onsw,wind,1041,38,0,25,0.07,0,0,0.001,ALB,95.6602,0,0,onsw_connection,onsw,FALSE,7percent,FALSE,
131,AUT_onsw,wind,1041,45,0,25,0.07,0,0,0.001,AUT,216.3916,0,0,onsw_connection,onsw,FALSE,7percent,FALSE,
132,BEL_onsw,wind,1041,45,0,25,0.07,0,0,0.001,BEL,78.251,0,0,onsw_connection,onsw,FALSE,7percent,FALSE,
133,BGR_onsw,wind,1041,38,0,25,0.07,0,0,0.001,BGR,589.0049,0,0,onsw_connection,onsw,FALSE,7percent,FALSE,
134,BIH_onsw,wind,1041,38,0,25,0.07,0,0,0.001,BIH,205.95,0,0,onsw_connection,onsw,FALSE,7percent,FALSE,
