id,name,fuel,capex,fom,vom,lifetime,discount_rate,heat_rate_base,heat_rate_incr,unit_size,node,max_build,min_build,initial_capacity,line,unit_type,is_flexible,scenarios,near_optimum,range_group
88,LVA_offw,wind,2852,86,0,25,0.07,0,0,0.001,LVA,229.4014,0,0,offw_connection,wind,FALSE,"base,zerocarbon",FALSE,
89,MNE_offw,wind,2852,70,0,25,0.109,0,0,0.001,MNE,5.3215,0,0,offw_connection,wind,FALSE,"base,zerocarbon",FALSE,
90,NLD_offw,wind,2852,91,0,25,0.054,0,0,0.001,NLD,956.1448,0,0,offw_connection,wind,FALSE,"base,zerocarbon",FALSE,
91,NOR_offw,wind,2852,86,0,25,0.056,0,0,0.001,NOR,820.2833,0,0,offw_connection,wind,FALSE,"base,zerocarbon",FALSE,
92,POL_offw,wind,2852,86,0,25,0.066,0,0,0.001,POL,234.2223,0,0,offw_connection,wind,FALSE,"base,zerocarbon",FALSE,
93,PRT_offw,wind,2852,86,0,25,0.069,0,0,0.001,PRT,104.508,0,0,offw_connection,wind,FALSE,"base,zerocarbon",FALSE,
94,ROU_offw,wind,2852,70,0,25,0.083,0,0,0.001,ROU,133.7488,0,0,offw_connection,wind,FALSE,"base,zerocarbon",FALSE,
95,SVN_offw,wind,2852,86,0,25,0.07,0,0,0.001,SVN,3.076,0,0,offw_connection,wind,FALSE,"base,zerocarbon",FALSE,
96,SWE_offw,wind,2852,86,0,25,0.056,0,0,0.001,SWE,1059.104,0,0,offw_connection,wind,FALSE,"base,zerocarbon",FALSE,
97,ALB_onsw,wind,1041,38,0,25,0.075,0,0,0.001,ALB,95.6602,0,0,onsw_connection,wind,FALSE,"base,zerocarbon",FALSE,
98,AUT_onsw,wind,1041,45,0,25,0.037,0,0,0.001,AUT,216.3916,0,0,onsw_connection,wind,FALSE,"base,zerocarbon",FALSE,
99,BEL_onsw,wind,1041,45,0,25,0.047,0,0,0.001,BEL,78.251,0,0,onsw_connection,wind,FALSE,"base,zerocarbon",FALSE,
100,BGR_onsw,wind,1041,38,0,25,0.057,0,0,0.001,BGR,589.0049,0,0,onsw_connection,wind,FALSE,"base,zerocarbon",FALSE,
101,BIH_onsw,wind,1041,38,0,25,0.135,0,0,0.001,BIH,205.95,0,0,onsw_connection,wind,FALSE,"base,zerocarbon",FALSE,
102,CHE_onsw,wind,1041,45,0,25,0.059,0,0,0.001,CHE,51.2322,0,0,onsw_connection,wind,FALSE,"test,base,zerocarbon",FALSE,
103,CYP_onsw,wind,1041,38,0,25,0.052,0,0,0.001,CYP,24.7058,0,0,onsw_connection,wind,FALSE,"base,zerocarbon",FALSE,
104,CZE_onsw,wind,1041,45,0,25,0.064,0,0,0.001,CZE,412.4115,0,0,onsw_connection,wind,FALSE,"base,zerocarbon",FALSE,
105,DEU_onsw,wind,1041,53,0,25,0.023,0,0,0.001,DEU,1501.1084,0,0,onsw_connection,wind,FALSE,"test,base,zerocarbon",FALSE,
106,DNK_onsw,wind,1041,40,0,25,0.026,0,0,0.001,DNK,161.6938,0,0,onsw_connection,wind,FALSE,"base,zerocarbon",FALSE,
107,ESP_onsw,wind,1041,45,0,25,0.046,0,0,0.001,ESP,2798.5452,0,0,onsw_connection,wind,FALSE,"base,zerocarbon",FALSE,
108,EST_onsw,wind,1041,45,0,25,0.064,0,0,0.001,EST,275.0268,0,0,onsw_connection,wind,FALSE,"base,zerocarbon",FALSE,
109,FIN_onsw,wind,1041,45,0,25,0.031,0,0,0.001,FIN,2227.6338,0,0,onsw_connection,wind,FALSE,"base,zerocarbon",FALSE,
110,FRA_onsw,wind,1041,53,0,25,0.029,0,0,0.001,FRA,2242.1652,0,0,onsw_connection,wind,FALSE,"base,zerocarbon",FALSE,
111,GBR_onsw,wind,1041,41,0,25,0.037,0,0,0.001,GBR,1158.529,0,0,onsw_connection,wind,FALSE,"base,zerocarbon",FALSE,
112,GRC_onsw,wind,1041,45,0,25,0.05,0,0,0.001,GRC,513.0074,0,0,onsw_connection,wind,FALSE,"base,zerocarbon",FALSE,
113,HRV_onsw,wind,1041,38,0,25,0.064,0,0,0.001,HRV,256.1394,0,0,onsw_connection,wind,FALSE,"base,zerocarbon",FALSE,
114,HUN_onsw,wind,1041,45,0,25,0.052,0,0,0.001,HUN,547.9876,0,0,onsw_connection,wind,FALSE,"base,zerocarbon",FALSE,
115,IRL_onsw,wind,1041,38,0,25,0.04,0,0,0.001,IRL,338.8948,0,0,onsw_connection,wind,FALSE,"base,zerocarbon",FALSE,
116,ITA_onsw,wind,1041,45,0,25,0.049,0,0,0.001,ITA,935.8255,0,0,onsw_connection,wind,FALSE,"base,zerocarbon",FALSE,
117,LTU_onsw,wind,1041,45,0,25,0.037,0,0,0.001,LTU,355.7573,0,0,onsw_connection,wind,FALSE,"base,zerocarbon",FALSE,
118,LUX_onsw,wind,1041,45,0,25,0.041,0,0,0.001,LUX,11.8035,0,0,onsw_connection,wind,FALSE,"base,zerocarbon",FALSE,
119,LVA_onsw,wind,1041,45,0,25,0.07,0,0,0.001,LVA,397.8007,0,0,onsw_connection,wind,FALSE,"base,zerocarbon",FALSE,
120,MKD_onsw,wind,1041,38,0,25,0.075,0,0,0.001,MKD,115.777,0,0,onsw_connection,wind,FALSE,"base,zerocarbon",FALSE,
121,MNE_onsw,wind,1041,38,0,25,0.074,0,0,0.001,MNE,48.4932,0,0,onsw_connection,wind,FALSE,"base,zerocarbon",FALSE,
122,NLD_onsw,wind,1041,45,0,25,0.035,0,0,0.001,NLD,81.7761,0,0,onsw_connection,wind,FALSE,"base,zerocarbon",FALSE,
123,NOR_onsw,wind,1041,45,0,25,0.056,0,0,0.001,NOR,1951.1056,0,0,onsw_connection,wind,FALSE,"base,zerocarbon",FALSE,
124,POL_onsw,wind,1041,45,0,25,0.046,0,0,0.001,POL,1699.4941,0,0,onsw_connection,wind,FALSE,"base,zerocarbon",FALSE,
125,PRT_onsw,wind,1041,45,0,25,0.038,0,0,0.001,PRT,368.221,0,0,onsw_connection,wind,FALSE,"base,zerocarbon",FALSE,
126,ROU_onsw,wind,1041,38,0,25,0.075,0,0,0.001,ROU,1288.1147,0,0,onsw_connection,wind,FALSE,"base,zerocarbon",FALSE,
127,SRB_onsw,wind,1041,38,0,25,0.075,0,0,0.001,SRB,351.1306,0,0,onsw_connection,wind,FALSE,"base,zerocarbon",FALSE,
128,SVK_onsw,wind,1041,45,0,25,0.065,0,0,0.001,SVK,246.9879,0,0,onsw_connection,wind,FALSE,"base,zerocarbon",FALSE,
129,SVN_onsw,wind,1041,45,0,25,0.07,0,0,0.001,SVN,61.2107,0,0,onsw_connection,wind,FALSE,"base,zerocarbon",FALSE,
130,SWE_onsw,wind,1041,45,0,25,0.046,0,0,0.001,SWE,3076.9997,0,0,onsw_connection,wind,FALSE,"base,zerocarbon",FALSE,
131,ALB_biogas,biogas,4050.51,162.02,0.06,20,0.075,0,2.44,0.5,ALB,0,0,0,other_connections,biogas,TRUE,"base,zerocarbon",FALSE,
132,AUT_biogas,biogas,4050.51,162.02,0.06,20,0.05,0,2.44,0.5,AUT,0,0,0,other_connections,biogas,TRUE,"test,base",FALSE,
133,BEL_biogas,biogas,4050.51,162.02,0.06,20,0.05,0,2.44,0.5,BEL,0,0,0,other_connections,biogas,TRUE,"base,zerocarbon",FALSE,
134,BGR_biogas,biogas,4050.51,162.02,0.06,20,0.075,0,2.44,0.5,BGR,0,0,0,other_connections,biogas,TRUE,"base,zerocarbon",FALSE,
135,BIH_biogas,biogas,4050.51,162.02,0.06,20,0.135,0,2.44,0.5,BIH,0,0,0,other_connections,biogas,TRUE,"base,zerocarbon",FALSE,
136,CHE_biogas,biogas,4050.51,162.02,0.06,20,0.05,0,2.44,0.5,CHE,0,0,0,other_connections,biogas,TRUE,"test,base",FALSE,
137,CYP_biogas,biogas,4050.51,162.02,0.06,20,0.075,0,2.44,0.5,CYP,0,0,0,other_connections,biogas,TRUE,"base,zerocarbon",FALSE,
138,CZE_biogas,biogas,4050.51,162.02,0.06,20,0.05,0,2.44,0.5,CZE,0,0,0,other_connections,biogas,TRUE,"base,zerocarbon",FALSE,
139,DEU_biogas,biogas,4050.51,162.02,0.06,20,0.05,0,2.44,0.5,DEU,0,0,0,other_connections,biogas,TRUE,"test,base",FALSE,
140,DNK_biogas,biogas,4050.51,162.02,0.06,20,0.05,0,2.44,0.5,DNK,0,0,0,other_connections,biogas,TRUE,"base,zerocarbon",FALSE,
141,ESP_biogas,biogas,4050.51,162.02,0.06,20,0.05,0,2.44,0.5,ESP,0,0,0,other_connections,biogas,TRUE,"base,zerocarbon",FALSE,
142,EST_biogas,biogas,4050.51,162.02,0.06,20,0.064,0,2.44,0.5,EST,0,0,0,other_connections,biogas,TRUE,"base,zerocarbon",FALSE,
143,FIN_biogas,biogas,4050.51,162.02,0.06,20,0.05,0,2.44,0.5,FIN,0,0,0,other_connections,biogas,TRUE,"base,zerocarbon",FALSE,
144,FRA_biogas,biogas,4050.51,162.02,0.06,20,0.05,0,2.44,0.5,FRA,0,0,0,other_connections,biogas,TRUE,"base,zerocarbon",FALSE,
145,GBR_biogas,biogas,4050.51,162.02,0.06,20,0.05,0,2.44,0.5,GBR,0,0,0,other_connections,biogas,TRUE,"base,zerocarbon",FALSE,
146,GRC_biogas,biogas,4050.51,162.02,0.06,20,0.05,0,2.44,0.5,GRC,0,0,0,other_connections,biogas,TRUE,"base,zerocarbon",FALSE,
147,HRV_biogas,biogas,4050.51,162.02,0.06,20,0.075,0,2.44,0.5,HRV,0,0,0,other_connections,biogas,TRUE,"base,zerocarbon",FALSE,
148,HUN_biogas,biogas,4050.51,162.02,0.06,20,0.052,0,2.44,0.5,HUN,0,0,0,other_connections,biogas,TRUE,"base,zerocarbon",FALSE,
149,IRL_biogas,biogas,4050.51,162.02,0.06,20,0.05,0,2.44,0.5,IRL,0,0,0,other_connections,biogas,TRUE,"base,zerocarbon",FALSE,
150,ITA_biogas,biogas,4050.51,162.02,0.06,20,0.05,0,2.44,0.5,ITA,0,0,0,other_connections,biogas,TRUE,"base,zerocarbon",FALSE,
151,LTU_biogas,biogas,4050.51,162.02,0.06,20,0.05,0,2.44,0.5,LTU,0,0,0,other_connections,biogas,TRUE,"base,zerocarbon",FALSE,
152,LUX_biogas,biogas,4050.51,162.02,0.06,20,0.05,0,2.44,0.5,LUX,0,0,0,other_connections,biogas,TRUE,"base,zerocarbon",FALSE,
153,LVA_biogas,biogas,4050.51,162.02,0.06,20,0.07,0,2.44,0.5,LVA,0,0,0,other_connections,biogas,TRUE,"base,zerocarbon",FALSE,
154,MKD_biogas,biogas,4050.51,162.02,0.06,20,0.075,0,2.44,0.5,MKD,0,0,0,other_connections,biogas,TRUE,"base,zerocarbon",FALSE,
155,MNE_biogas,biogas,4050.51,162.02,0.06,20,0.075,0,2.44,0.5,MNE,0,0,0,other_connections,biogas,TRUE,"base,zerocarbon",FALSE,
156,NLD_biogas,biogas,4050.51,162.02,0.06,20,0.05,0,2.44,0.5,NLD,0,0,0,other_connections,biogas,TRUE,"base,zerocarbon",FALSE,
157,NOR_biogas,biogas,4050.51,162.02,0.06,20,0.056,0,2.44,0.5,NOR,0,0,0,other_connections,biogas,TRUE,"base,zerocarbon",FALSE,
158,POL_biogas,biogas,4050.51,162.02,0.06,20,0.05,0,2.44,0.5,POL,0,0,0,other_connections,biogas,TRUE,"base,zerocarbon",FALSE,
159,PRT_biogas,biogas,4050.51,162.02,0.06,20,0.05,0,2.44,0.5,PRT,0,0,0,other_connections,biogas,TRUE,"base,zerocarbon",FALSE,
160,ROU_biogas,biogas,4050.51,162.02,0.06,20,0.075,0,2.44,0.5,ROU,0,0,0,other_connections,biogas,TRUE,"base,zerocarbon",FALSE,
161,SRB_biogas,biogas,4050.51,162.02,0.06,20,0.075,0,2.44,0.5,SRB,0,0,0,other_connections,biogas,TRUE,"base,zerocarbon",FALSE,
162,SVK_biogas,biogas,4050.51,162.02,0.06,20,0.051,0,2.44,0.5,SVK,0,0,0,other_connections,biogas,TRUE,"base,zerocarbon",FALSE,
163,SVN_biogas,biogas,4050.51,162.02,0.06,20,0.056,0,2.44,0.5,SVN,0,0,0,other_connections,biogas,TRUE,"base,zerocarbon",FALSE,
164,SWE_biogas,biogas,4050.51,162.02,0.06,20,0.05,0,2.44,0.5,SWE,0,0,0,other_connections,biogas,TRUE,"base,zerocarbon",FALSE,
165,ALB_biomass,biomass,4766.57,190.66,4,20,0.075,0,3.45,0.5,ALB,0,0,0,other_connections,biomass,TRUE,"base,zerocarbon",FALSE,
166,AUT_biomass,biomass,4766.57,190.66,4,20,0.05,0,3.45,0.5,AUT,0,0,0,other_connections,biomass,TRUE,"base,zerocarbon",FALSE,
167,BEL_biomass,biomass,4766.57,190.66,4,20,0.05,0,3.45,0.5,BEL,0,0,0,other_connections,biomass,TRUE,"base,zerocarbon",FALSE,
168,BGR_biomass,biomass,4766.57,190.66,4,20,0.075,0,3.45,0.5,BGR,0,0,0,other_connections,biomass,TRUE,"base,zerocarbon",FALSE,
169,BIH_biomass,biomass,4766.57,190.66,4,20,0.135,0,3.45,0.5,BIH,0,0,0,other_connections,biomass,TRUE,"base,zerocarbon",FALSE,
170,CHE_biomass,biomass,4766.57,190.66,4,20,0.05,0,3.45,0.5,CHE,0,0,0,other_connections,biomass,TRUE,"base,zerocarbon",FALSE,
171,CYP_biomass,biomass,4766.57,190.66,4,20,0.075,0,3.45,0.5,CYP,0,0,0,other_connections,biomass,TRUE,"base,zerocarbon",FALSE,
172,CZE_biomass,biomass,4766.57,190.66,4,20,0.05,0,3.45,0.5,CZE,0,0,0,other_connections,biomass,TRUE,"base,zerocarbon",FALSE,
173,DEU_biomass,biomass,4766.57,190.66,4,20,0.05,0,3.45,0.5,DEU,0,0,0,other_connections,biomass,TRUE,"base,zerocarbon",FALSE,
174,DNK_biomass,biomass,4766.57,190.66,4,20,0.05,0,3.45,0.5,DNK,0,0,0,other_connections,biomass,TRUE,"base,zerocarbon",FALSE,
