id,name,length,capex,transformer_capex,fom,vom,lifetime,discount_rate,node_start,node_end,loss_factor,initial_capacity,max_build,min_build,unit_type,scenarios,near_optimum,range_group
86,GBR-NLD,1.0,942.0,0.0,14.13,0.0,60.0,0.05,GBR,NLD,0.0,1.0,40.0,0.0,dc_subsea_transmission,all,False,
87,GBR-NOR,1.0,942.0,0.0,14.13,0.0,60.0,0.05,GBR,NOR,0.0,3.4,34.0,0.0,dc_subsea_transmission,all,False,
88,GBR-FRA,1.0,755.0,0.0,11.325,0.0,60.0,0.05,GBR,FRA,0.0,3.0,30.0,0.0,dc_underground_transmission,all,False,
89,GRC-ALB,1.0,516.0,0.0,7.74,0.0,60.0,0.05,GRC,ALB,0.007236986168440374,0.8,32.0,0.0,ac_ohl_mountain_transmission,all,False,
90,GRC-BGR,1.0,175.0,0.0,2.625,0.0,60.0,0.05,GRC,BGR,0.009665981416031588,0.5,20.0,0.0,ac_ohl_transmission,all,False,
91,GRC-MKD,1.0,175.0,0.0,2.625,0.0,60.0,0.05,GRC,MKD,0.009665981416031588,0.6,24.0,0.0,ac_ohl_transmission,all,False,
92,GRC-CYP,1.0,942.0,0.0,14.13,0.0,60.0,0.05,GRC,CYP,0.0,2.0,20.0,0.0,dc_subsea_transmission,all,False,
93,GRC-ITA,1.0,942.0,0.0,14.13,0.0,60.0,0.05,GRC,ITA,0.0,1.0,40.0,0.0,dc_subsea_transmission,all,False,
94,HRV-BIH,1.0,175.0,0.0,2.625,0.0,60.0,0.05,HRV,BIH,0.009665981416031588,4.0,40.0,0.0,ac_ohl_transmission,all,False,
95,HRV-HUN,1.0,175.0,0.0,2.625,0.0,60.0,0.05,HRV,HUN,0.009665981416031588,2.3,23.0,0.0,ac_ohl_transmission,all,False,
96,HRV-SRB,1.0,175.0,0.0,2.625,0.0,60.0,0.05,HRV,SRB,0.009665981416031588,0.7,28.0,0.0,ac_ohl_transmission,all,False,
97,HRV-SVN,1.0,175.0,0.0,2.625,0.0,60.0,0.05,HRV,SVN,0.009665981416031588,3.4,34.0,0.0,ac_ohl_transmission,all,False,
